epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,254.329,0.86006,0.76396,1.02572,0.70725,0.68198,0.67192,0.45173,1.07064,0.89879,1.18562,0.0004456,0.0004456,0.0004456
58,258.85,0.84341,0.75162,1.02764,0.7862,0.66859,0.78726,0.51888,1.09453,0.91299,1.21719,0.0004357,0.0004357,0.0004357
59,263.376,0.88085,0.78381,1.04292,0.59824,0.88422,0.66927,0.41552,1.09429,0.93837,1.22893,0.0004258,0.0004258,0.0004258
60,267.887,0.83542,0.7473,1.02225,0.64977,0.47396,0.59839,0.38381,1.12757,0.96852,1.22131,0.0004159,0.0004159,0.0004159
61,272.328,0.85402,0.72429,1.02495,0.54602,0.65725,0.66636,0.38997,1.11111,0.95551,1.23684,0.000406,0.000406,0.000406
62,276.826,0.85059,0.74753,1.04936,0.84146,0.77364,0.87965,0.48139,1.06298,0.86573,1.18976,0.0003961,0.0003961,0.0003961
63,281.385,0.82281,0.72794,1.02256,0.634,0.74177,0.68655,0.43194,1.06794,0.92814,1.20802,0.0003862,0.0003862,0.0003862
64,285.888,0.7964,0.71511,1.01118,0.81052,0.67678,0.69278,0.44945,1.09088,0.9524,1.22896,0.0003763,0.0003763,0.0003763
65,290.384,0.82626,0.72263,1.02487,0.71734,0.81619,0.76118,0.50741,1.07093,0.92169,1.21555,0.0003664,0.0003664,0.0003664
66,294.891,0.82614,0.71177,1.01179,0.60512,0.72668,0.71325,0.47994,1.09249,0.95438,1.22215,0.0003565,0.0003565,0.0003565
67,299.427,0.80697,0.66994,0.99672,0.65176,0.61996,0.70363,0.45374,1.11668,0.92033,1.24405,0.0003466,0.0003466,0.0003466
68,303.905,0.81563,0.68339,1.00746,0.5994,0.87912,0.73427,0.46864,1.11974,0.95822,1.24895,0.0003367,0.0003367,0.0003367
69,308.421,0.80926,0.66739,1.00487,0.56811,0.88627,0.73048,0.44376,1.09601,0.93891,1.23902,0.0003268,0.0003268,0.0003268
70,312.93,0.81665,0.68848,1.01819,0.60999,0.79906,0.77898,0.46533,1.10074,0.94166,1.23722,0.0003169,0.0003169,0.0003169
71,317.451,0.80652,0.65066,1.00766,0.64764,0.7694,0.73055,0.46234,1.11463,0.90539,1.22117,0.000307,0.000307,0.000307
72,321.98,0.79455,0.66817,1.01169,0.6161,0.67753,0.72942,0.4722,1.09455,0.87949,1.18657,0.0002971,0.0002971,0.0002971
73,326.454,0.75455,0.65196,0.98208,0.62425,0.89599,0.78913,0.50982,1.08885,0.86084,1.19955,0.0002872,0.0002872,0.0002872
74,330.952,0.76924,0.63829,0.99637,0.55905,0.81862,0.73155,0.46267,1.10484,0.94254,1.2131,0.0002773,0.0002773,0.0002773
75,335.458,0.75758,0.61584,0.9763,0.63214,0.85568,0.83954,0.53138,1.08616,0.89985,1.19623,0.0002674,0.0002674,0.0002674
76,340.022,0.7721,0.6482,0.99155,0.76643,0.73836,0.85954,0.56217,1.08897,0.86752,1.18705,0.0002575,0.0002575,0.0002575
77,344.51,0.77366,0.63528,0.99778,0.68855,0.86027,0.84101,0.57573,1.07658,0.87316,1.20051,0.0002476,0.0002476,0.0002476
78,349.045,0.75924,0.62757,0.98584,0.60097,0.83602,0.76073,0.52902,1.0833,0.88757,1.20645,0.0002377,0.0002377,0.0002377
79,353.545,0.75016,0.63042,0.99223,0.74029,0.78101,0.73024,0.51757,1.09522,0.89546,1.19947,0.0002278,0.0002278,0.0002278
80,358.054,0.70784,0.61578,0.96857,0.56433,0.86521,0.81574,0.52263,1.10909,0.89746,1.21205,0.0002179,0.0002179,0.0002179
81,362.507,0.7289,0.60728,0.97486,0.56246,0.6391,0.65887,0.42822,1.10958,0.89702,1.23011,0.000208,0.000208,0.000208
82,367.053,0.7655,0.63857,0.99745,0.60576,0.83313,0.70288,0.48095,1.09535,0.90962,1.2189,0.0001981,0.0001981,0.0001981
83,371.572,0.72117,0.60727,0.96009,0.60175,0.86334,0.72962,0.49064,1.0896,0.88015,1.22125,0.0001882,0.0001882,0.0001882
84,376.12,0.71344,0.59906,0.96562,0.59315,0.81167,0.72607,0.47529,1.1015,0.9095,1.24225,0.0001783,0.0001783,0.0001783
85,380.562,0.72487,0.584,0.96309,0.5546,0.88506,0.80498,0.49367,1.08926,0.85284,1.22876,0.0001684,0.0001684,0.0001684
86,385.057,0.70007,0.56715,0.94782,0.84144,0.59799,0.8145,0.52767,1.09621,0.85447,1.24379,0.0001585,0.0001585,0.0001585
87,389.574,0.69059,0.57459,0.95983,0.81585,0.61915,0.67185,0.44858,1.09017,0.88073,1.23673,0.0001486,0.0001486,0.0001486
88,394.113,0.67583,0.55519,0.94197,0.5527,0.87984,0.69268,0.46545,1.06937,0.89731,1.21842,0.0001387,0.0001387,0.0001387
89,398.55,0.70924,0.58865,0.96077,0.55037,0.87058,0.6935,0.46056,1.08694,0.89105,1.2213,0.0001288,0.0001288,0.0001288
90,403.046,0.67998,0.56592,0.94588,0.58446,0.68684,0.68413,0.442,1.09369,0.89685,1.2411,0.0001189,0.0001189,0.0001189
91,424.264,0.70524,0.57662,0.95351,0.59792,0.84658,0.74672,0.49397,1.1197,0.92701,1.2508,0.000109,0.000109,0.000109
92,428.785,0.61456,0.50312,0.92469,0.67239,0.70696,0.69886,0.46726,1.10561,0.90551,1.25124,9.91e-05,9.91e-05,9.91e-05
93,433.209,0.63353,0.49645,0.92141,0.55332,0.68359,0.69637,0.46266,1.09843,0.92142,1.23565,8.92e-05,8.92e-05,8.92e-05
94,437.681,0.6415,0.48937,0.91785,0.6317,0.54047,0.66256,0.44003,1.0999,0.9083,1.23475,7.93e-05,7.93e-05,7.93e-05
95,442.159,0.61004,0.47171,0.91153,0.57175,0.80934,0.72867,0.48468,1.0904,0.88363,1.22881,6.94e-05,6.94e-05,6.94e-05
96,446.707,0.59492,0.46091,0.90763,0.59102,0.76798,0.71726,0.46574,1.07846,0.85582,1.21635,5.95e-05,5.95e-05,5.95e-05
97,451.162,0.60188,0.45848,0.89686,0.63874,0.7529,0.71886,0.47695,1.08326,0.85406,1.21565,4.96e-05,4.96e-05,4.96e-05
98,455.659,0.57602,0.45654,0.90411,0.66709,0.75087,0.71539,0.47951,1.08136,0.87381,1.2168,3.97e-05,3.97e-05,3.97e-05
99,460.152,0.5829,0.448,0.90319,0.64607,0.75002,0.71536,0.47443,1.08842,0.87143,1.22464,2.98e-05,2.98e-05,2.98e-05
100,464.677,0.59535,0.45932,0.90411,0.65257,0.74954,0.71891,0.47811,1.08681,0.87334,1.22355,1.99e-05,1.99e-05,1.99e-05
